,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
170,mukdahan,61,TH,1604005608,95,16.58,104.5,71.44,3.53
171,voskehat,0,AM,1604005608,57,40.14,44.33,48.2,2.84
172,monrovia,20,LR,1604005608,88,6.3,-10.8,80.6,8.46
173,axim,20,GH,1604005531,85,4.87,-2.24,78.17,4.92
174,kameno,75,BG,1604005608,87,42.57,27.3,57.99,2.08
175,high level,0,CA,1604005608,85,58.52,-117.14,26.38,3.42
176,yuryevets,0,RU,1604005608,78,57.32,43.1,38.16,11.21
177,kazanskoye,100,RU,1604005608,91,55.64,69.23,34.93,12.95
178,jalu,0,LY,1604005379,61,29.03,21.55,65.14,10.18
179,salinas,1,US,1604005351,16,36.68,-121.66,78.8,3.36
180,mar del plata,20,AR,1604005608,47,-38.0,-57.56,55.4,12.75
181,neiafu,40,TO,1604005608,64,-18.65,-173.98,75.2,5.82
182,lebu,0,CL,1604005405,69,-37.62,-73.65,55.6,20.8
183,faanui,0,PF,1604005609,76,-16.48,-151.75,80.42,9.78
184,cabedelo,0,BR,1604005434,69,-6.98,-34.83,80.6,9.17
185,andros town,40,BS,1604005609,74,24.7,-77.77,84.2,11.41
186,bagrami,0,AF,1604005609,35,34.49,69.27,39.2,2.24
187,saint-philippe,75,RE,1604005319,60,-21.36,55.77,71.6,23.04
188,rakke,100,EE,1604005609,96,58.98,26.25,45.05,3.11
189,tlazazalca,90,MX,1604005609,73,19.97,-102.07,73.4,8.05
190,bourail,99,NC,1604005609,58,-21.57,165.48,77.58,5.21
191,copiapo,0,CL,1604005522,55,-27.37,-70.33,64.4,11.41
192,dvorichna,100,UA,1604005609,78,49.85,37.69,46.31,6.82
193,tessalit,1,ML,1604005609,15,20.2,1.01,80.4,8.88
194,thompson,100,CA,1604005467,97,55.74,-97.86,26.91,10.38
195,la rioja,0,ES,1604005609,93,42.25,-2.5,54.0,1.12
196,turkistan,0,KZ,1604005610,64,43.0,68.0,40.19,13.11
197,sindou,3,BF,1604005610,34,10.67,-5.17,76.78,1.72
198,kirya,100,TZ,1604005610,70,-3.92,37.48,72.41,5.97
199,lubao,75,PH,1604005610,88,14.92,120.55,78.8,4.7
200,san quintin,0,MX,1604005610,41,30.48,-115.95,73.31,9.66
201,killybegs,90,IE,1604005610,93,54.63,-8.45,57.2,24.16
202,havelock,100,US,1604005610,84,34.88,-76.9,79.0,13.0
203,pangnirtung,69,CA,1604005610,85,66.15,-65.71,7.47,3.4
204,haines junction,100,CA,1604005317,91,60.75,-137.51,24.8,2.33
205,itoman,75,JP,1604005611,73,26.12,127.67,77.0,9.17
206,kahului,75,US,1604005499,88,20.89,-156.47,75.2,5.82
207,aiquile,73,BO,1604005611,57,-18.2,-65.18,64.35,17.25
208,charters towers,0,AU,1604005595,61,-20.1,146.27,72.52,6.76
209,kuryk,0,KZ,1604005611,44,43.2,51.65,51.57,24.83
210,staryy nadym,100,RU,1604005611,96,65.61,72.68,13.14,8.59
211,terney,95,RU,1604005611,73,45.05,136.61,41.7,9.17
212,esil,5,KZ,1604005611,94,51.96,66.4,32.2,6.96
213,roros,89,NO,1604005386,94,62.57,11.38,32.0,2.24
214,ust-uda,100,RU,1604005611,96,54.17,103.03,29.39,5.55
215,longyearbyen,20,SJ,1604005611,62,78.22,15.64,19.4,17.22
216,upornaya,52,RU,1604005611,46,44.39,41.02,59.47,5.97
217,te anau,100,NZ,1604005430,85,-45.42,167.72,59.02,2.13
218,preobrazheniye,0,RU,1604005612,76,42.9,133.91,37.8,7.72
219,adrar,52,MR,1604005531,14,20.5,-10.07,84.94,8.25
220,gambela,100,ET,1604005612,91,8.25,34.58,71.17,3.8
221,ilebo,4,CD,1604005612,95,-4.32,20.58,70.79,1.48
222,ust-barguzin,99,RU,1604005612,91,53.45,108.98,33.75,2.93
223,tevriz,100,RU,1604005612,93,57.51,72.4,37.13,11.36
224,kruisfontein,100,ZA,1604005612,86,-34.0,24.73,55.99,7.0
225,saskylakh,0,RU,1604005612,84,71.92,114.08,0.1,4.81
226,benjamin hill,53,MX,1604005612,20,30.17,-111.1,84.99,3.0
227,paveh,53,IR,1604005612,51,35.04,46.36,48.25,2.28
228,verkhoyansk,100,RU,1604005612,92,67.54,133.38,2.8,0.51
229,podor,95,MR,1604005612,12,16.65,-14.96,93.94,11.1
230,flinders,37,AU,1604005442,94,-34.58,150.86,63.0,1.01
231,faya,0,SA,1604005612,30,18.39,42.45,60.8,5.82
232,barka kana,38,IN,1604005613,50,23.62,85.48,66.42,5.5
233,ossora,99,RU,1604005613,96,59.24,163.07,32.59,2.59
234,bilma,0,NE,1604005443,18,18.69,12.92,74.82,5.88
235,carahue,0,CL,1604005613,43,-38.7,-73.17,71.6,11.41
236,ambilobe,0,MG,1604005613,70,-13.2,49.05,72.37,5.73
237,deputatskiy,100,RU,1604005613,94,69.3,139.9,1.69,0.45
238,mancio lima,78,BR,1604005613,50,-7.61,-72.9,92.41,3.02
239,kalevala,100,RU,1604005613,81,65.2,31.17,44.8,11.97
240,carnarvon,90,AU,1604005613,100,-24.87,113.63,69.8,4.7
241,fortuna,1,US,1604005492,39,40.6,-124.16,72.0,8.05
242,atar,34,MR,1604005613,17,20.52,-13.05,85.24,9.69
243,kholtoson,95,RU,1604005614,87,50.3,103.31,30.04,1.79
244,mount isa,0,AU,1604005614,43,-20.73,139.5,55.4,4.7
245,lompoc,1,US,1604005614,33,34.64,-120.46,75.99,10.29
246,ahipara,100,NZ,1604005614,72,-35.17,173.17,65.53,9.4
247,yar-sale,87,RU,1604005614,96,66.83,70.83,11.89,8.19
248,lerwick,84,GB,1604005614,81,60.15,-1.15,50.0,25.28
249,jiwani,0,PK,1604005614,57,25.05,61.74,74.32,7.74
250,petropavlovka,74,RU,1604005614,93,50.61,105.32,32.14,0.83
251,saint-pierre,75,RE,1604005615,60,-21.34,55.48,71.6,23.04
252,kavaratti,0,IN,1604005615,74,10.57,72.64,82.31,8.79
253,flin flon,100,CA,1604005615,96,54.77,-101.86,30.61,8.28
254,jacobina,93,BR,1604005615,71,-11.18,-40.52,76.6,2.89
255,palembang,0,ID,1604005615,93,-2.92,104.75,74.73,1.99
256,strezhevoy,90,RU,1604005615,92,60.73,77.59,21.2,2.24
257,evensk,18,RU,1604005377,84,61.95,159.23,19.71,3.96
258,laguna,1,US,1604005325,25,38.42,-121.42,77.0,1.88
259,fort wellington,96,GY,1604005615,75,6.4,-57.6,83.44,12.17
260,port elizabeth,87,ZA,1604005615,77,-33.92,25.57,59.0,21.92
261,shahr-e babak,0,IR,1604005615,51,30.12,55.12,44.58,2.8
262,shingu,38,JP,1604005615,72,33.73,135.98,50.81,6.06
263,san policarpo,100,PH,1604005615,84,12.18,125.51,81.86,15.26
264,esperance,0,AU,1604005615,87,-33.87,121.9,48.2,10.29
265,barra,86,BR,1604005615,61,-11.09,-43.14,83.39,7.14
266,kasongo-lunda,100,CD,1604005615,91,-6.47,16.82,72.25,1.81
267,necochea,0,AR,1604005517,61,-38.55,-58.74,55.0,5.99
268,isla mujeres,40,MX,1604005616,70,21.23,-86.73,86.0,8.05
269,sungairaya,80,ID,1604005616,85,0.7,108.9,78.6,6.42
270,hearst,0,CA,1604005616,75,49.68,-83.67,25.16,4.52
271,muravlenko,91,RU,1604005616,97,63.79,74.52,13.87,6.2
272,carauari,95,BR,1604005507,59,-4.88,-66.9,88.68,0.83
273,baillif,100,GP,1604005616,78,16.02,-61.75,82.4,11.41
274,emet,44,TR,1604005616,78,39.34,29.26,52.2,1.23
275,port macquarie,1,AU,1604005369,100,-31.43,152.92,55.99,3.76
276,saint-prosper,100,CA,1604005617,48,46.21,-70.48,34.0,4.76
277,diamantino,98,BR,1604005617,87,-14.41,-56.45,76.28,3.67
278,tual,91,ID,1604005617,69,-5.67,132.75,82.98,5.97
279,buenaventura,55,CO,1604005617,89,3.88,-77.03,79.25,4.5
280,thunder bay,2,CA,1604005559,61,48.4,-89.32,30.99,1.25
281,lasa,40,IT,1604005404,86,46.62,10.7,46.0,5.82
282,vikulovo,100,RU,1604005617,91,56.82,70.61,35.94,13.13
283,sisimiut,100,GL,1604005343,94,66.94,-53.67,21.52,5.64
284,cidreira,100,BR,1604005617,66,-30.18,-50.21,63.03,13.76
285,saint anthony,90,US,1604005524,51,45.02,-93.22,36.0,6.93
286,chapais,97,CA,1604005617,94,49.78,-74.85,20.26,6.53
287,juneau,90,US,1604005617,75,58.3,-134.42,43.0,11.41
288,shenavan,0,AM,1604005618,57,40.05,43.93,48.2,0.94
289,mandali,25,IQ,1604005618,26,33.75,45.55,64.42,1.32
290,veraval,69,IN,1604005618,66,20.9,70.37,79.2,7.81
291,serravalle pistoiese,100,IT,1604005618,86,43.91,10.83,57.0,1.54
292,neuquen,0,AR,1604005603,20,-38.95,-68.06,73.4,13.87
293,monte alegre,18,BR,1604005618,42,-2.01,-54.07,94.08,6.11
294,sangar,12,RU,1604005618,89,63.92,127.47,-12.77,1.19
295,ponta do sol,20,PT,1604005618,73,32.67,-17.1,69.8,11.41
296,yzeure,90,FR,1604005618,100,46.56,3.35,57.99,3.36
297,mocuba,0,MZ,1604005618,76,-16.84,36.99,71.47,2.13
298,mangaldai,4,IN,1604005618,89,26.43,92.03,69.96,4.85
299,ancud,0,CL,1604005618,54,-41.87,-73.82,57.2,10.29
300,salumbar,52,IN,1604005619,38,24.13,74.05,71.04,2.86
301,norman wells,49,CA,1604005393,91,65.28,-126.83,15.26,3.42
302,yulara,0,AU,1604005427,39,-25.24,130.99,62.6,9.17
303,erdenet,100,MN,1604005619,84,49.03,104.08,32.09,1.77
304,goalpara,0,IN,1604005567,84,26.17,90.62,70.47,3.8
305,ostrovnoy,100,RU,1604005619,85,68.05,39.51,43.0,26.19
306,verkhoturye,4,RU,1604005619,91,58.86,60.81,34.7,8.12
307,muisne,75,EC,1604005555,83,0.6,-80.03,80.6,9.17
308,kurumkan,96,RU,1604005619,92,54.3,110.3,30.69,2.8
309,cockburn town,0,TC,1604005365,77,21.46,-71.14,82.29,17.36
310,severo-yeniseyskiy,100,RU,1604005619,95,60.37,93.04,7.86,6.31
311,manoel urbano,76,BR,1604005619,52,-8.84,-69.26,90.45,3.87
312,muros,3,ES,1604005619,93,42.78,-9.06,51.01,6.24
313,sotnikovskoye,58,RU,1604005619,92,45.0,43.78,54.68,9.62
314,deoband,0,IN,1604005619,42,29.7,77.68,64.67,3.04
315,aksu,75,CN,1604005620,58,41.12,80.26,43.11,2.89
316,port-gentil,90,GA,1604005620,94,-0.72,8.78,78.8,3.36
317,matara,91,LK,1604005620,86,5.95,80.54,76.84,6.15
318,seoul,1,KR,1604005488,44,37.57,126.98,41.0,1.86
319,suntar,100,RU,1604005620,88,62.14,117.63,10.6,7.25
320,baculin,100,PH,1604005620,76,7.45,126.58,78.66,2.84
321,sioux lookout,0,CA,1604005600,81,50.1,-91.92,26.89,3.49
322,horsham,75,GB,1604005620,82,51.06,-0.33,59.0,16.11
323,hobyo,100,SO,1604005620,77,5.35,48.53,79.7,14.0
324,coquimbo,20,CL,1604005522,72,-29.95,-71.34,60.8,11.41
325,nyimba,11,ZM,1604005548,40,-14.56,30.81,78.62,6.64
326,loandjili,40,CG,1604005620,88,-4.76,11.86,78.8,8.05
327,hambantota,100,LK,1604005621,82,6.12,81.12,78.39,7.76
328,sambava,44,MG,1604005621,84,-14.27,50.17,72.77,11.48
329,oyama,75,JP,1604005621,71,36.3,139.8,61.0,3.36
330,puerto colombia,40,CO,1604005621,74,10.99,-74.95,86.0,4.7
331,koge,1,DK,1604005621,93,55.46,12.18,44.6,5.82
332,dingle,95,PH,1604005489,89,11.0,122.67,76.12,4.81
333,viking,98,CA,1604005621,51,53.1,-111.77,41.0,8.99
334,placerville,1,US,1604005607,12,38.73,-120.8,79.0,4.7
335,templin,40,DE,1604005461,76,53.12,13.5,50.0,11.41
336,mattru,59,SL,1604005621,91,7.62,-11.83,75.56,2.98
337,viedma,0,AR,1604005337,23,-40.81,-63.0,73.99,1.01
338,slavuta,71,UA,1604005622,93,50.3,26.87,48.02,5.7
339,mount gambier,40,AU,1604005622,93,-37.83,140.77,48.2,6.93
340,kuala pilah,20,MY,1604005622,88,2.74,102.25,78.8,1.23
341,morlaix,90,FR,1604005622,93,48.58,-4.0,57.99,23.04
342,san andres,75,CO,1604005622,88,12.58,-81.7,78.8,8.05
343,kimbe,87,PG,1604005623,82,-5.55,150.14,77.72,2.73
344,kaset sombun,100,TH,1604005623,93,16.28,101.95,72.43,3.09
345,balakirevo,0,RU,1604005623,83,56.51,38.84,36.99,7.99
346,shaunavon,96,CA,1604005602,73,49.65,-108.42,44.37,15.03
347,keuruu,90,FI,1604005623,100,62.27,24.7,46.0,6.93
348,viransehir,23,TR,1604005623,24,37.24,39.76,66.76,4.7
349,scarborough,100,GB,1604005623,90,54.28,-0.4,57.0,5.01
350,tabas,0,IR,1604005623,11,33.6,56.92,59.0,4.7
351,houma,1,US,1604005623,49,29.6,-90.72,68.0,11.41
352,khatanga,0,RU,1604005370,86,71.97,102.5,3.63,14.54
353,yerbogachen,99,RU,1604005624,96,61.28,108.01,13.78,6.4
354,maloy,75,NO,1604005624,81,61.94,5.11,48.2,11.41
355,nha trang,20,VN,1604005624,88,12.25,109.18,78.8,1.12
356,samarai,83,PG,1604005624,81,-10.62,150.67,79.59,6.53
357,thung song,94,TH,1604005624,93,8.16,99.68,74.05,2.1
358,okha,84,RU,1604005624,90,53.57,142.95,36.21,9.62
359,ourossogui,100,SN,1604005624,12,15.61,-13.32,91.92,7.11
360,soe,38,ID,1604005624,90,-9.86,124.28,66.78,2.48
361,mangaratiba,40,BR,1604005624,74,-22.96,-44.04,78.8,10.29
362,firovo,99,RU,1604005624,91,57.48,33.7,43.9,8.52
363,woodward,1,US,1604005625,50,36.43,-99.39,51.8,9.17
364,korhogo,100,CI,1604005625,47,9.45,-5.63,76.5,1.54
365,honiara,75,SB,1604005492,94,-9.43,159.95,75.2,5.3
366,serebryansk,90,KZ,1604005625,96,49.69,83.29,32.0,13.42
367,georgetown,20,MY,1604005625,88,5.41,100.34,78.8,4.79
368,gizo,95,SB,1604005625,73,-8.1,156.84,82.81,8.1
369,caracoli,15,CO,1604005625,73,6.41,-74.76,81.19,2.95
370,grindavik,75,IS,1604005445,93,63.84,-22.43,42.8,17.22
371,saint pete beach,75,US,1604005625,79,27.73,-82.74,86.0,14.99
372,phek,99,IN,1604005625,100,25.67,94.5,58.35,1.57
373,pandan,100,PH,1604005625,86,14.05,124.17,80.69,12.57
374,khandbari,0,NP,1604005625,32,27.37,87.2,64.15,5.21
375,emerald,0,AU,1604005404,63,-23.53,148.17,60.8,8.05
376,aklavik,100,CA,1604005388,92,68.22,-135.01,14.65,4.99
377,acajutla,20,SV,1604005428,58,13.59,-89.83,86.0,5.82
378,talnakh,63,RU,1604005575,85,69.49,88.4,4.35,7.63
379,mumford,51,GH,1604005626,86,5.26,-0.76,78.39,6.98
380,progreso,75,MX,1604005626,94,21.28,-89.67,77.0,11.41
381,mata,0,PT,1604005626,92,40.68,-7.46,52.0,1.83
382,gwadar,0,PK,1604005626,38,25.12,62.33,74.79,6.67
383,lata,0,PT,1604005525,92,40.16,-8.33,60.01,2.57
384,kieta,100,PG,1604005626,77,-6.22,155.63,81.55,3.56
385,vostok,99,RU,1604005409,100,46.49,135.88,31.1,2.68
386,vestmanna,94,FO,1604005626,100,62.16,-7.17,46.4,20.8
387,ola,96,RU,1604005626,91,59.58,151.28,28.47,5.26
